time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-09-26T15:38:16.000Z,-20.1,119.534,10,4.4,mb,,,,2.49,us,usb000sgcs,2014-12-20T00:53:59.040Z,"99 km ENE of Port Hedland, Australia",earthquake,4.9,1.9,0.202,7,reviewed,aust,us
2014-10-02T15:52:57.360Z,-10.3478,113.2808,34.82,4.2,mb,,88,2.054,1.07,us,usb000sm0a,2014-12-23T01:41:58.040Z,"228 km S of Kencong, Indonesia",earthquake,8.4,4.9,0.175,11,reviewed,us,us
2014-10-02T19:46:04.280Z,-9.0761,115.9067,49.76,4.1,mb,,102,1.835,0.66,us,usb000sm0i,2014-12-23T01:41:58.040Z,"42 km SSW of Lembar, Indonesia",earthquake,10,7.7,0.145,15,reviewed,us,us
2014-10-03T04:57:28.570Z,-9.1953,110.3486,46.44,4.4,mb,,66,1.286,0.97,us,usb000sie9,2014-12-23T01:41:59.040Z,"137 km S of Pundong, Indonesia",earthquake,8.1,6.8,0.155,20,reviewed,us,us
2014-10-03T05:26:29.940Z,-9.4264,110.3297,60.7,4.5,mb,,92,1.516,0.67,us,usb000smdq,2014-12-23T01:41:59.040Z,"163 km S of Pundong, Indonesia",earthquake,4.9,9.3,0.113,25,reviewed,us,us
2014-10-06T00:11:24.310Z,-9.253,124.0536,25.13,4.3,mb,,115,0.541,1.07,us,usb000sj14,2014-12-23T01:42:04.040Z,"36 km W of Pante Makasar, Timor Leste",earthquake,7.3,6,0.202,7,reviewed,us,us
2014-10-08T19:22:56.390Z,-10.8836,117.2192,44.26,4,mb,,110,3.859,0.84,us,usb000snhl,2015-01-06T23:49:47.040Z,"262 km SSE of Praya, Indonesia",earthquake,9.4,9.7,0.232,7,reviewed,us,us
2014-10-17T05:23:43.570Z,-9.079,120.6626,112.29,4.1,mb,,71,1.617,0.33,us,usb000srpx,2015-01-15T20:03:28.040Z,"56 km SSE of Ruteng, Indonesia",earthquake,8.6,10.7,0.302,3,reviewed,us,us
2014-10-19T19:21:11.000Z,-10.7669,124.3611,10,4.3,mb,,109,1.009,1.29,us,usb000sp1d,2015-01-15T20:03:34.040Z,"100 km S of Soe, Indonesia",earthquake,7.8,2,0.202,7,reviewed,us,us
2014-10-25T02:34:49.590Z,-9.6289,150.4463,10,4.1,mb,,132,3.249,0.67,us,usc000sv2h,2015-01-17T01:25:37.040Z,"eastern New Guinea region, Papua New Guinea",earthquake,5.5,1.9,0.197,13,reviewed,us,us
2014-10-26T08:56:41.720Z,-10.2403,112.7996,36.09,5,mb,,26,2.207,0.97,us,usb000sqqg,2015-01-17T01:25:39.040Z,"224 km S of Dampit, Indonesia",earthquake,4.6,4.6,0.074,64,reviewed,us,us
2014-10-26T09:06:05.800Z,-10.3732,112.7722,25.21,4.1,mb,,95,2.33,0.88,us,usc000svdr,2015-01-17T01:25:39.040Z,"239 km S of Dampit, Indonesia",earthquake,8.4,8,0.174,11,reviewed,us,us
2014-10-26T09:07:24.990Z,-10.3177,112.7863,29.91,4.9,mb,,39,2.277,1.07,us,usb000sqqh,2015-01-17T01:25:39.040Z,"232 km S of Dampit, Indonesia",earthquake,6.5,4,0.077,56,reviewed,us,us
2014-10-26T23:24:55.960Z,-10.2751,112.8117,47.26,4.5,mb,,88,2.228,1.07,us,usb000sqt4,2015-01-17T01:25:40.040Z,"228 km S of Dampit, Indonesia",earthquake,7.2,7.5,0.087,43,reviewed,us,us
2014-10-27T03:40:46.550Z,-10.3214,112.8213,34.9,4,mb,,94,2.26,1.16,us,usc000svev,2015-01-17T01:25:40.040Z,"233 km SSW of Kencong, Indonesia",earthquake,8.3,8.1,0.196,8,reviewed,us,us
2014-10-30T19:36:03.000Z,-10.3832,123.8659,24.59,4.3,mb,,111,0.265,1.35,us,usc000swia,2015-01-20T09:03:04.040Z,"36 km SE of Kupang, Indonesia",earthquake,5.2,7.6,0.266,5,reviewed,us,us
2014-10-31T00:02:14.650Z,-9.6174,113.7262,34.38,4.3,mb,,85,1.215,0.88,us,usc000swly,2015-01-20T09:03:04.040Z,"142 km SSW of Gambiran Satu, Indonesia",earthquake,5.1,6.7,0.154,15,reviewed,us,us
2014-10-31T19:15:25.000Z,-30.815,121.232,10,4.5,mb,,,,1.99,us,usc000st80,2015-01-20T09:03:06.040Z,"21 km WSW of Somerville, Australia",earthquake,6.6,1.9,0.118,26,reviewed,aust,us
2014-11-01T16:37:53.470Z,-9.5351,125.4508,64.09,4.4,mb,,80,1.187,1.21,us,usc000swyy,2015-01-20T09:03:09.040Z,"32 km SE of Suai, Timor Leste",earthquake,4.8,11.4,0.219,6,reviewed,us,us
2014-11-06T22:12:27.880Z,-21.7816,122.2952,0,3.4,mb,,126,2.287,0.95,us,usc000syhj,2015-01-31T02:50:05.040Z,"118 km WSW of Telfer, Australia",mining explosion,3.7,2,0.346,2,reviewed,us,us
2014-11-08T00:01:03.630Z,-11.4907,116.655,30.18,4.7,mb,,61,3.884,1.07,us,usb000sy8r,2015-01-31T02:50:09.040Z,"South of Lombok, Indonesia",earthquake,6.1,5.3,0.174,11,reviewed,us,us
